Dia;En;Fb;Mz;Ab;My;Jn;Jl;Ag;Se;Oc;Nv;Dc
1;000;085;162;247;329;414;496;581;666;748;833;915
2;003;088;164;249;332;416;499;584;668;751;836;918
3;005;090;167;252;334;419;501;586;671;753;838;921
4;008;093;170;255;337;422;504;589;674;756;841;923
5;011;096;173;258;340;425;507;592;677;759;844;926
6;014;099;175;260;342;427;510;595;679;762;847;929
7;016;101;178;263;345;430;512;597;682;764;849;932
8;019;104;181;266;348;433;515;600;685;767;852;934
9;022;107;184;268;351;436;518;603;688;770;855;937
10;025;110;186;271;353;438;521;605;690;773;858;940
11;027;112;189;274;356;441;523;608;693;775;860;942
12;030;115;192;277;359;444;526;611;696;778;863;945
13;033;118;195;279;362;447;529;614;699;781;866;948
14;036;121;197;282;364;449;532;616;701;784;868;951
15;038;123;200;285;367;452;534;619;704;786;871;953
16;041;126;203;288;370;455;537;622;707;789;874;956
17;044;129;205;290;373;458;540;625;710;792;877;959
18;047;132;208;293;375;460;542;627;712;795;879;962
19;049;134;211;296;378;463;545;630;715;797;882;964
20;052;137;214;299;381;466;548;633;718;800;885;967
21;055;140;216;301;384;468;551;636;721;803;888;970
22;058;142;219;304;386;471;553;638;723;805;890;973
23;060;145;222;307;389;474;556;641;726;808;893;975
24;063;148;225;310;392;477;559;644;729;811;896;978
25;066;151;227;312;395;479;562;647;731;814;899;981
26;068;153;230;315;397;482;564;649;734;816;901;984
27;071;156;233;318;400;485;567;652;737;819;904;986
28;074;159;236;321;403;488;570;655;740;822;907;989
29;077;---;238;323;405;490;573;658;742;825;910;992
30;079;---;241;326;408;493;575;660;745;827;912;995
31;082;---;244;---;411;---;578;663;---;830;---;997
