Id;Semana;Dias;Meses;Año;Lpo;Mpo;Spo;S3npo;S2npo;S1npo;S0po;S1po;S2po;S3po;Lto;Mto;Sto;S3nto;S2nto;S1nto;S0to;S1to;S2to;S3to;Lpa;Mpa;Spa;S3npa;S2npa;S1npa;S0pa;S1pa;S2pa;S3pa;Lta;Mta;Sta;S3nta;S2nta;S1nta;S0ta;S1ta;S2ta;S3ta
1;0;0;0;0;0.349;3.346;0.146;2.1;2.5;2.9;3.3;3.9;4.4;5;1;40.88;0.038;44.2;46.1;48;49.9;51.8;53.7;55.6;0.381;3.232;0.142;2;2.4;2.8;3.2;3.7;4.2;4.8;1;49.15;0.038;43.6;45.4;47.3;49.1;51;52.9;54.7
2;1;0;0;0.019;0.278;3.488;0.154;2.2;2.6;3;3.5;4;4.6;5.3;1;51.12;0.037;45.4;47.3;49.2;51.1;53;54.9;56.8;0.267;3.339;0.146;2.1;2.5;2.9;3.3;3.9;4.4;5.1;1;50.33;0.037;44.7;46.6;48.4;50.3;52.2;54.1;56
3;2;0;0;0.038;0.258;3.753;0.141;2.4;2.8;3.2;3.8;4.3;4.9;5.6;1;52.35;0.037;46.6;48.5;50.4;52.3;54.3;56.2;58.1;0.23;3.569;0.143;2.3;2.7;3.1;3.6;4.1;4.7;5.4;1;51.51;0.037;45.8;47.7;49.6;51.5;53.4;55.3;57.2
4;3;0;0;0.057;0.244;4.06;0.138;2.6;3.1;3.5;4.1;4.7;5.3;6;1;53.39;0.036;47.6;49.5;51.5;53.4;55.3;57.2;59.2;0.202;3.835;0.141;2.5;2.9;3.3;3.8;4.4;5;5.7;1;52.47;0.037;46.7;48.6;50.5;52.5;54.4;56.3;58.2
5;4;0;0;0.077;0.233;4.367;0.135;2.9;3.3;3.8;4.4;5;5.7;6.4;1;54.39;0.036;48.6;50.5;52.4;54.4;56.3;58.3;60.2;0.179;4.099;0.138;2.7;3.1;3.6;4.1;4.7;5.4;6.1;1;53.38;0.036;47.5;49.5;51.4;53.4;55.3;57.3;59.2
6;-1;30;1;0.083;0.23;4.471;0.134;2.9;3.4;3.9;4.5;5.1;5.8;6.6;1;54.72;0.036;48.9;50.8;52.8;54.7;56.7;58.6;60.6;0.171;4.187;0.137;2.7;3.2;3.6;4.2;4.8;5.5;6.2;1;53.69;0.036;47.8;49.8;51.7;53.7;55.6;57.6;59.5
7;5;0;1;0.096;0.224;4.659;0.132;3.1;3.5;4.1;4.7;5.3;6;6.8;1;55.34;0.035;49.5;51.4;53.4;55.3;57.3;59.2;61.2;0.158;4.348;0.136;2.9;3.3;3.8;4.3;5;5.7;6.5;1;54.25;0.036;48.3;50.3;52.3;54.2;56.2;58.2;60.1
8;6;0;1;0.115;0.216;4.93;0.13;3.3;3.8;4.3;4.9;5.6;6.3;7.2;1;56.24;0.035;50.3;52.3;54.3;56.2;58.2;60.2;62.1;0.14;4.579;0.134;3;3.5;4;4.6;5.2;6;6.8;1;55.06;0.036;49.1;51.1;53.1;55.1;57.1;59;61
9;7;0;1;0.134;0.208;5.182;0.127;3.5;4;4.6;5.2;5.9;6.6;7.5;1;57.09;0.035;51.1;53.1;55.1;57.1;59.1;61;63;0.122;4.795;0.132;3.2;3.7;4.2;4.8;5.5;6.2;7.1;1;55.84;0.036;49.8;51.8;53.8;55.8;57.8;59.9;61.9
10;8;0;1;0.153;0.201;5.415;0.125;3.7;4.2;4.8;5.4;6.1;6.9;7.8;1;57.89;0.034;51.9;53.9;55.9;57.9;59.9;61.9;63.9;0.107;4.996;0.131;3.3;3.8;4.4;5;5.7;6.5;7.3;1;56.58;0.036;50.5;52.5;54.6;56.6;58.6;60.6;62.6
