IdImc;IdMes;Lio;Mio;Sio;SD4nio;SD3nio;SD2nio;SD1nio;SD0io;SD1io;SD2io;SD3io;SD4io;Lia;Mia;Sia;SD4nia;SD3nia;SD2nia;SD1nia;SD0ia;SD1ia;SD2ia;SD3ia;SD4ia;Lpo;Mpo;Spo;Sdpo;SD3npo;SD2npo;SD1npo;SD0po;SD1po;SD2po;SD3po;Lpa;Mpa;Spa;Sdpa;SD3npa;SD2npa;SD1npa;SD0pa;SD1pa;SD2pa;SD3pa
1;0;-0.3053;13.4069;0.0956;0;10.2;11.1;12.2;13.4;14.8;16.3;18.1;0;-0.0631;13.3363;0.09272;0;10.1;11.1;12.2;13.3;14.6;16.1;17.7;0;1;34.4618;0.03686;1.2703;30.7;31.9;33.2;34.5;35.7;37;38.3;1;33.8787;0.03496;1.1844;30.3;31.5;32.7;33.9;35.1;36.2;37.4
2;1;0.2708;14.9441;0.09027;0;11.3;12.4;13.6;14.9;16.3;17.8;19.4;0;0.3448;14.5679;0.09556;0;10.8;12;13.2;14.6;16;17.5;19.1;0;1;37.2759;0.03133;1.1679;33.8;34.9;36.1;37.3;38.4;39.6;40.8;1;36.5463;0.0321;1.1731;33;34.2;35.4;36.5;37.7;38.9;40.1
3;2;0.1118;16.3195;0.08677;0;12.5;13.7;15;16.3;17.8;19.4;21.1;0;0.1749;15.7679;0.09371;0;11.8;13;14.3;15.8;17.3;19;20.7;0;1;39.1285;0.02997;1.1727;35.6;36.8;38;39.1;40.3;41.5;42.6;1;38.2521;0.03168;1.2118;34.6;35.8;37;38.3;39.5;40.7;41.9
4;3;0.0068;16.8987;0.08495;0;13.1;14.3;15.5;16.9;18.4;20;21.8;0;0.0643;16.3574;0.09254;0;12.4;13.6;14.9;16.4;17.9;19.7;21.5;0;1;40.5135;0.02918;1.1822;37;38.1;39.3;40.5;41.7;42.9;44.1;1;39.5328;0.0314;1.2413;35.8;37.1;38.3;39.5;40.8;42;43.3
5;4;-0.0727;17.1579;0.08378;0;13.4;14.5;15.8;17.2;18.7;20.3;22.1;0;-0.0191;16.6703;0.09166;0;12.7;13.9;15.2;16.7;18.3;20;22;0;1;41.6317;0.02868;1.194;38;39.2;40.4;41.6;42.8;44;45.2;1;40.5817;0.03119;1.2657;36.8;38.1;39.3;40.6;41.8;43.1;44.4
6;5;-0.137;17.2919;0.08296;0;13.5;14.7;15.9;17.3;18.8;20.5;22.3;0;-0.0864;16.8386;0.09096;0;12.9;14.1;15.4;16.8;18.4;20.2;22.2;0;1;42.5576;0.02837;1.2074;38.9;40.1;41.4;42.6;43.8;45;46.2;1;41.459;0.03102;1.2861;37.6;38.9;40.2;41.5;42.7;44;45.3
7;6;-0.1913;17.3422;0.08234;0;13.6;14.7;16;17.3;18.8;20.5;22.3;0;-0.1429;16.9083;0.09036;0;13;14.1;15.5;16.9;18.5;20.3;22.3;0;1;43.3306;0.02817;1.2206;39.7;40.9;42.1;43.3;44.6;45.8;47;1;42.1995;0.03087;1.3027;38.3;39.6;40.9;42.2;43.5;44.8;46.1
8;7;-0.2385;17.3288;0.08183;0;13.7;14.8;16;17.3;18.8;20.5;22.3;0;-0.1916;16.902;0.08984;0;13;14.2;15.5;16.9;18.5;20.3;22.3;0;1;43.9803;0.02804;1.2332;40.3;41.5;42.7;44;45.2;46.4;47.7;1;42.829;0.03075;1.317;38.9;40.2;41.5;42.8;44.1;45.5;46.8
9;8;-0.2802;17.2647;0.0814;0;13.6;14.7;15.9;17.3;18.7;20.4;22.2;0;-0.2344;16.8404;0.08939;0;13;14.1;15.4;16.8;18.4;20.2;22.2;0;1;44.53;0.02796;1.2451;40.8;42;43.3;44.5;45.8;47;48.3;1;43.3671;0.03063;1.3283;39.4;40.7;42;43.4;44.7;46;47.4
10;9;-0.3176;17.1662;0.08102;0;13.6;14.7;15.8;17.2;18.6;20.3;22.1;0;-0.2725;16.7406;0.08898;0;12.9;14.1;15.3;16.7;18.3;20.1;22.1;0;1;44.9998;0.02792;1.2564;41.2;42.5;43.7;45;46.3;47.5;48.8;1;43.83;0.03053;1.3381;39.8;41.2;42.5;43.8;45.2;46.5;47.8
